Identifier,Title,Short Title,Code,Start Date,End Date,Ethics ID,Anticipated Participants Count,PPID Format,Visit Name Format,Label Format,Derivative Label Format,Aliquot Label Format,User inputs PPID,User inputs Visit Name,User inputs Specimen Label,Label Sequence Key,Label Pre-print Mode,Description URL,Activity Status,Sites#1#Name,Sites#1#Code,Sites#2#Name,Sites#2#Code,PI#PI Email,Coordinator#1#Coordinator Email,Coordinator#2#Coordinator Email,Label Print Setting#1#Lineage,Label Print Setting#1#Print Mode,Label Print Setting#1#Copies,Label Print Setting#2#Lineage,Label Print Setting#2#Print Mode,Label Print Setting#2#Copies
,Oncology_5012,Oncology_5012,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5013,Oncology_5013,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5014,Oncology_5014,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5015,Oncology_5015,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5016,Oncology_5016,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5017,Oncology_5017,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5018,Oncology_5018,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5019,Oncology_5019,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5020,Oncology_5020,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5021,Oncology_5021,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5022,Oncology_5022,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5023,Oncology_5023,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5024,Oncology_5024,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5025,Oncology_5025,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5026,Oncology_5026,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5027,Oncology_5027,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5028,Oncology_5028,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5029,Oncology_5029,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5030,Oncology_5030,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5031,Oncology_5031,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5032,Oncology_5032,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5033,Oncology_5033,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
